familia;codigo;descricao;representante;
CBH12;CBH12 SS RS/T R15,5 M22;"Carreta Hidráulica 12t (19m3) RS/T de 2 Eixos - FORRAGEIRA - RODA 15,5"" - Molas, Freios e Pneus não Incluídos";Galo;23
CBH12;CBH12 SS RS/T R15,5 P400 M22;"Carreta Hidráulica 12t (19m3) RS/T de 2 Eixos - FORRAGEIRA - RODA 15,5"" - C/ PNEUS ALTA FLUTUAÇÃO - Molas, Freios não Incluídos";Galo;28
CBH3,5;CBH3,5 UG CS RS M21;Carreta Hidráulica 3,5t (3m3) RS de 1 Eixo - USO GERAL - C/ MOLAS - Freios e Pneus não Incluídos;Galo;19
CBH3,5;CBH3,5 UG SS RS M21;Carreta Hidráulica 3,5t (3m3) RS de 1 Eixo - USO GERAL - Molas, Freios e Pneus não Incluídos;Galo;19
CBH3,5;CBH3,5 UG SS RS MM M21;Carreta Hidráulica 3,5t (3m3) RS de 1 Eixo - USO GERAL - C/ MANG MAIORES - Molas, Freios e Pneus não Incluídos;Galo;22
CBH5;CBH5 FO CS RD M21;Carreta Hidráulica 5t (7,5m3) RD de 1 Eixo - FORRAGEIRA - C/ MOLAS - Freios e Pneus não Incluídos;Galo;17
CBH5;CBH5 FO SC RD M21;Carreta Hidráulica 5t (7,5m3) RD de 1 Eixo - FORRAGEIRA - C/ FREIOS - Molas e Pneus não Incluídos;Galo;17
CBH5;CBH5 FO SC RD MM M21;Carreta Hidráulica 5t (7,5m3) RD de 1 Eixo- FORRAGEIRA - C/ FREIOS + MANG MAIORES - Molas e Pneus não Incluídos;Galo;20
CBH5;CBH5 FO SC RD MM P750(I) M21;Carreta Hidráulica 5t (7,5m3) RD de 1 Eixo- FORRAGEIRA - C/ FREIOS + MANG MAIORES + PNEUS - Molas não Incluído;Galo;28
CBH5;CBH5 FO SC RD BE M21;Carreta Hidráulica 5t (7,5m3) RD de 1 Eixo- FORRAGEIRA - C/ FREIOS + BASE P/ ENSILADEIRA - Molas e Pneus não Incluídos;Galo;20
CBH5;CBH5 FO SC RD BE MM M21;Carreta Hidráulica 5t (7,5m3) RD de 1 Eixo- FORRAGEIRA - C/ FREIOS + MANG MAIORES + BASE P/ ENSILADEIRA - Molas e Pneus não Incluídos;Galo;23
CBH5;CBH5 FO SC T M21;Carreta Hidráulica 5t (7,5m3) de Eixo Tandem - FORRAGEIRA - C/ FREIOS - Molas e Pneus não Incluídos;Galo;16
CBH5;CBH5 FO SC T MM M21;Carreta Hidráulica 5t (7,5m3) de Eixo Tandem - FORRAGEIRA - C/ FREIOS + MANG MAIORES - Molas e Pneus não Incluídos;Galo;19
CBH5;CBH5 FO SS RD M21;Carreta Hidráulica 5t (7,5m3) RD de 1 Eixo - FORRAGEIRA - Molas, Freios e Pneus não Incluídos;Galo;17
CBH5;CBH5 FO SS RD MM M21;Carreta Hidráulica 5t (7,5m3) RD de 1 Eixo - FORRAGEIRA - C/ MANG MAIORES - Molas, Freios e Pneus não Incluídos;Galo;20
CBH5;CBH5 FO SS RD MM P750(I) M21;Carreta Hidráulica 5t (7,5m3) RD de 1 Eixo - FORRAGEIRA - C/ MANG MAIORES + PNEUS - Molas e Freios não Incluídos+;Galo;28
CBH5;CBH5 FO SS RD P750(I) M21;Carreta Hidráulica 5t (7,5m3) RD de 1 Eixo - FORRAGEIRA - C/ PNEUS - Molas e Freios não Incluídos;Galo;25
CBH5;CBH5 FO SS T M21;Carreta Hidráulica 5t (7,5m3) de Eixo Tandem - FORRAGEIRA - Molas, Freios e Pneus não Incluídos;Galo;16
CBH5;CBH5 FO SS T MM M21;Carreta Hidráulica 5t (7,5m3) de Eixo Tandem - FORRAGEIRA - C/ MANG MAIORES - Molas, Freios e Pneus não Incluídos;Galo;19
CBH5;CBH5 FO SS T MM P750(I) M21;Carreta Hidráulica 5t (7,5m3) de Eixo Tandem - FORRAGEIRA - C/ MANG MAIORES + PNEUS 750(I) - Molas e Freios não Incluídos;Galo;27
CBH5;CBH5 FO SS T BE M21;Carreta Hidráulica 5t (7,5m3) de Eixo Tandem - FORRAGEIRA - C/ BASE P/ ENSILADEIRA - Molas, Freios e Pneus não Incluídos;Galo;19
CBH5;CBH5 FO-1M CS RD M21;Carreta Hidráulica 5t (5m3) RD de 1 Eixo - FORRAGEIRA 1M - C/ MOLAS - Freios e Pneus não Incluídos;Galo;20
CBH5;CBH5 FO-1M CS RD P750(I) M21;Carreta Hidráulica 5t (5m3) RD de 1 Eixo - FORRAGEIRA 1M - C/ MOLAS + PNEUS - Freios não Incluídos;Galo;28
CBH5;CBH5 FO-1M SC RD M21;Carreta Hidráulica 5t (5m3) RD de 1 Eixo- FORRAGEIRA - C/ FREIOS - Molas e Pneus não Incluídas;Galo;20
CBH5;CBH5 FO-1M SC RD MM P750(I) M21;Carreta Hidráulica 5t (5m3) RD de 1 Eixo- FORRAGEIRA - C/ FREIOS + MANG MAIORES + PNEUS - Molas não Incluídas+;Galo;31
CBH5;CBH5 FO-1M SS RD M21;Carreta Hidráulica 5t (5m3) RD de 1 Eixo - FORRAGEIRA 1M - Molas, Freios e Pneus não Incluídos;Galo;20
CBH5;CBH5 FO-1M SS RD MM M21;Carreta Hidráulica 5t (5m3) RD de 1 Eixo - FORRAGEIRA 1M - C/ MANG MAIORES - Molas, Freios e Pneus não incluídos;Galo;23
CBH5;CBH5 FO-1M SS RD MM P750(I) M21;Carreta Hidráulica 5t (5m3) RD de 1 Eixo - FORRAGEIRA 1M - C/ PNEUS + MANG MAIORES - Molas e Freios não incluídos;Galo;31
CBH5;CBH5 FO-1M SS RD P750(I) M21;Carreta Hidráulica 5t (5m3) RD de 1 Eixo - FORRAGEIRA 1M - C/ PNEUS - Molas e Freios não Incluídos;Galo;28
CBH5;CBH5 FO-1M SS RD BE M21;Carreta Hidráulica 5t (5m3) RD de 1 Eixo - FORRAGEIRA 1M - C/ BASE P/ ENSILADEIRA - Molas, Freios e Pneus não Incluídos;Galo;23
CBH5;CBH5 FO-1M SS T M21;Carreta Hidráulica 5t (5m3) de Eixo Tandem - FORRAGEIRA 1M - Molas, Freios e Pneus não Incluídos;Galo;19
CBH5;CBH5 FO-1M SS T MM M21;Carreta Hidráulica 5t (5m3) de Eixo Tandem - FORRAGEIRA 1M - C/ MANGUEIRAS MAIORES - Molas, Freios e Pneus não Incluídos;Galo;22
CBH5;CBH5 FO-1M SS T MM P750(I) M21;Carreta Hidráulica 5t (5m3) de Eixo Tandem - FORRAGEIRA 1M - C/ MANG MAIORES + PNEUS 750(I) - Molas e Freios não Incluídos;Galo;30
CBH5;CBH5 FO-1M SS T BE M21;Carreta Hidráulica 5t (5m3) de Eixo Tandem - FORRAGEIRA 1M - C/ BASE P/ ENSILADEIRA - Molas, Freios e Pneus não Incluídos;Galo;22
CBH5;CBH5 FO-1M SS T BE MM P750(I) M21;Carreta Hidráulica 5t (5m3) de Eixo Tandem - FORRAGEIRA 1M - C/ BASE P/ ENSILADEIRA - MANG. MAIORES - C/PNEUS 750(I) - Molas e Freios não Incluídos;Galo;33
CBH5;CBH5 UG CS RD M21;Carreta Hidráulica 5t (3m3) RD de 1 Eixo - USO GERAL - C/ MOLAS - Freios e Pneus não Incluídos;Galo;17
CBH5;CBH5 UG CS RD P750(I) M21;Carreta Hidráulica 5t (3m3) RD de 1 Eixo - USO GERAL - C/ MOLAS + PNEUS - Freios não incluídos;Galo;25
CBH5;CBH5 UG SC T M21;Carreta Hidráulica 5t (3m3) de Eixo Tandem - USO GERAL - C/ FREIOS - Molas e Pneus não Incluídos;Galo;16
CBH5;CBH5 UG SS RD M21;Carreta Hidráulica 5t (3m3) RD de 1 Eixo - USO GERAL - Molas, Freios e Pneus não Incluídos;Galo;17
CBH5;CBH5 UG SS RD P750(I) M21;Carreta Hidráulica 5t (3m3) RD de 1 Eixo - USO GERAL - C/ PNEUS - Molas e Freios não Incluídos;Galo;25
CBH5;CBH5 UG SS T M21;Carreta Hidráulica 5t (3m3) de Eixo Tandem - USO GERAL - Molas, Freios e Pneus não Incluídos;Galo;16
CBH5;CBH5 UG SS T MM M21;Carreta Hidráulica 5t (3m3) de Eixo Tandem - USO GERAL - C/ MANGUEIRAS MAIORES - Molas, Freios e Pneus não Incluídos;Galo;19
CBH5;CBH5 UG SS T P750(I) M21;Carreta Hidráulica 5t (3m3) de Eixo Tandem - USO GERAL - C/ PNEUS - Molas e Freios não Incluídos;Galo;24
CBH6;CBH6 FO SC RD M22;Carreta Hidráulica 6t (9m3) RD de 1 Eixo – FORRAGEIRA - C/ FREIOS - Pneus não Incluídos;Galo;17
CBH6;CBH6 FO SC RD MM M22;Carreta Hidráulica 6t (9m3) RD de 1 Eixo – FORRAGEIRA - C/ FREIOS + MANG MAIORES - Pneus não Incluídos;Galo;20
CBH6;CBH6 FO SC RD MM P750(I) M22;Carreta Hidráulica 6t (9m3) RD de 1 Eixo – FORRAGEIRA - C/ FREIOS + MANG MAIORES + PNEUS;Galo;28
CBH6;CBH6 FO SS RD M22;Carreta Hidráulica 6t (9m3) RD de 1 Eixo – FORRAGEIRA - Molas, Freios e Pneus não Incluídos;Galo;17
CBH6;CBH6 FO SS RD MM M22;Carreta Hidráulica 6t (9m3) RD de 1 Eixo – FORRAGEIRA - MANGUEIRAS MAIORES - Molas, Pneus e Freios não Incluídos;Galo;20
CBH6;CBH6 FO SS RD MM P750(I) M22;Carreta Hidráulica 6t (9m3) RD de 1 Eixo – FORRAGEIRA - MANGUEIRAS MAIORES - PNEUS 750(I) - Molas e Freios não Incluídos;Galo;28
CBH6;CBH6 FO SS RD P750(I) M22;Carreta Hidráulica 6t (9m3) RD de 1 Eixo – FORRAGEIRA - PNEUS - Molas, Freios não Incluídos;Galo;25
CBH6;CBH6 FO SS T M22;Carreta Hidráulica 6t (9m3) de Eixo Tandem – FORRAGEIRA - Molas, Freios e Pneus não Incluídos;Galo;16
CBH6;CBH6 FO SS T MM M22;Carreta Hidráulica 6t (9m3) de Eixo Tandem – FORRAGEIRA - C/ MANG. MAIORES - Molas, Freios e Pneus não Incluídos;Galo;19
CBH6;CBH6 FO SS T MM P750(I) M22;Carreta Hidráulica 6t (9m3) de Eixo Tandem – FORRAGEIRA - C/ MANG. MAIORES + PNEUS 750(I) - Molas e Freios não Incluídos;Galo;27
CBH6;CBH6 FO SS T P750(I) M22;Carreta Hidráulica 6t (9m3) de Eixo Tandem – FORRAGEIRA - C/ PNEUS - Molas, Freios não Incluídos;Galo;24
CBH6;CBH6 FO-1M SC RD M22;Carreta Hidráulica 6t (6m3) RD de 1 Eixo – FORRAGEIRA 1M - C/ FREIOS - Pneus não Incluídos;Galo;20
CBH6;CBH6 FO-1M SS RD M22;Carreta Hidráulica 6t (6m3) RD de 1 Eixo – FORRAGEIRA 1M - Molas, Freios e Pneus não Incluídos;Galo;20
CBH6;CBH6 FO-1M SS RD MM M22;Carreta Hidráulica 6t (6m3) RD de 1 Eixo – FORRAGEIRA 1M - C/ MANG MAIORES - Molas, Freios e Pneus não Incluídos;Galo;23
CBH6;CBH6 FO-1M SS RD P750(I) M22;Carreta Hidráulica 6t (6m3) RD de 1 Eixo – FORRAGEIRA 1M - C/ PNEUS - Molas e Freios não Incluídos;Galo;28
CBH6;CBH6 FO-1M SS T M22;Carreta Hidráulica 6t (6m3) de Eixo Tandem – FORRAGEIRA 1M - Molas, Freios e Pneus não Incluídos;Galo;19
CBH6;CBH6 FO-1M SS T P750(I) M22;Carreta Hidráulica 6t (6m3) de Eixo Tandem – FORRAGEIRA 1M - C/ PNEUS - Molas, Freios e Pneus não Incluídos;Galo;27
CBH6;CBH6 UG SC RD M22;Carreta Hidráulica 6t (4m3) RD de 1 Eixo – USO GERAL - C/ FREIOS - Pneus não Incluídos;Galo;17
CBH6;CBH6 UG SS RD M22;Carreta Hidráulica 6t (4m3) RD de 1 Eixo – USO GERAL - Molas, Freios e Pneus não Incluídos;Galo;17
CBH6;CBH6 UG SS RD P750(I) M22;Carreta Hidráulica 6t (4m3) RD de 1 Eixo – USO GERAL - C/ PNEUS - Molas e Freios não Incluídos;Galo;25
CBH6;CBH6 UG SS T M22;Carreta Hidráulica 6t (4m3) de Eixo Tandem – USO GERAL - Molas, Freios e Pneus não Incluídos;Galo;16
CBH6-2E;CBH6-2E FO SS RS/RD CB P750(I) M21;Carreta Hidráulica 6t (9m3) RS/RD de 2 Eixos - FORRAGEIRA - C/ COMBOIO - COM PNEUS 750(I)- Molas e Freios não Incluídos;Galo;34
CBH6-2E;CBH6-2E FO SS RS/RD M21;Carreta Hidráulica 6t (9m3) RS/RD de 2 Eixos - FORRAGEIRA - Molas, Freios e Pneus não Incluídos;Galo;23
CBH6-2E;CBH6-2E FO SS RS/RD P750(I) M21;Carreta Hidráulica 6t (9m3) RS/RD de 2 Eixos - FORRAGEIRA - C/ PNEUS - Molas e Freios não Incluídos;Galo;31
CBH6-2E;CBH6-2E FO SS RS/T M21;Carreta Hidráulica 6t (9m3) RS/Tandem de 2 Eixos - FORRAGEIRA - Molas, Freios e Pneus não Incluídos;Galo;22
CBH6-2E;CBH6-2E FO SS RS/T P750(I) M21;Carreta Hidráulica 6t (9m3) RS/Tandem de 2 Eixos - FORRAGEIRA - C/ PNEUS - Molas e Freio não Incluídos;Galo;30
CBH6-2E;CBH6-2E FO-1M SS RS/RD M21;Carreta Hidráulica 6t (6m3) RS/RD de 2 Eixos - FORRAGEIRA 1M - Molas, Freios e Pneus não Incluídos;Galo;26
CBH6-2E;CBH6-2E FO-1M SS RS/T M21;Carreta Hidráulica 6t (6m3) RS/Tandem de 2 Eixos - FORRAGEIRA 1M - Molas, Freios e Pneus não Incluídos;Galo;25
CBH6-2E;CBH6-2E UG SS RS/RD M21;Carreta Hidráulica 6t (4m3) RS/RD de 2 Eixos - USO GERAL - Molas, Freios e Pneus não Incluídos;Galo;23
CBH6R;CBH6R FO SC T M21;Carreta Hidráulica 6t (7,5m3) de Eixo Tandem - FORRAGEIRA - C/ FREIOS - Molas e Pneus não Incluídos;Galo;17
CBH6R;CBH6R FO SC T P750(I) M21;Carreta Hidráulica 6t (7,5m3) de Eixo Tandem - FORRAGEIRA - C/ FREIO + PNEUS - Molas não Incluídos;Galo;25
CBH6R;CBH6R FO SS T M21;Carreta Hidráulica 6t (7,5m3) de Eixo Tandem - FORRAGEIRA - Molas, Freios e Pneus não Incluídos;Galo;17
CBH6R;CBH6R FO SS T MM M21;Carreta Hidráulica 6t (7,5m3) de Eixo Tandem - FORRAGEIRA - C/ MANG MAIORES - Molas, Freios e Pneus não Incluídos;Galo;20
CBH6R;CBH6R FO SS T P750(I) M21;Carreta Hidráulica 6t (7,5m3) de Eixo Tandem - FORRAGEIRA - C/ PNEUS - Molas e Freios não Incluídos;Galo;25
CBH7;CBH7 FO SC RD M21;Carreta Hidráulica 7t (9m3)RD de 1 Eixo - FORRAGEIRA - C/ FREIOS - Molas e Pneus não Incluídos;Galo;17
CBH7;CBH7 FO SC RD MM M21;Carreta Hidráulica 7t (9m3)RD de 1 Eixo - FORRAGEIRA - C/ FREIOS + MANG MAIORES - Molas e Pneus não Incluídos;Galo;20
CBH7;CBH7 FO SC T M21;Carreta Hidráulica 7t (9m3) de Eixo Tandem - FORRAGEIRA - C/ FREIOS - Molas e Pneus não Incluídos;Galo;16
CBH7;CBH7 FO SC T MM M21;Carreta Hidráulica 7t (9m3) de Eixo Tandem - FORRAGEIRA - C/ FREIOS + MANG MAIORES - Molas e Pneus não Incluídos;Galo;19
CBH7;CBH7 FO SS RD M21;Carreta Hidráulica 7t (9m3) RD de 1 Eixo - FORRAGEIRA - Molas, Freios e Pneus não Incluídos;Galo;17
CBH7;CBH7 FO SS RD MM M21;Carreta Hidráulica 7t (9m3)RD de 1 Eixo - FORRAGEIRA - C/ MANG MAIORES - Molas, Freios e Pneus não Incluídos;Galo;20
CBH7;CBH7 FO SS RD MM P750(I) M21;Carreta Hidráulica 7t (9m3)RD de 1 Eixo - FORRAGEIRA - C/ MANG MAIORES + PNEUS - Molas e Freios não Incluídos;Galo;28
CBH7;CBH7 FO SS RD P750(I) M21;Carreta Hidráulica 7t (9m3) RD de 1 Eixo - FORRAGEIRA - C/ PNEUS - Molas e Freios não Incluídos;Galo;25
CBH7;CBH7 FO SS T M21;Carreta Hidráulica 7t (9m3) de Eixo Tandem - FORRAGEIRA - Molas, Freios e Pneus não Incluídos;Galo;16
CBH7;CBH7 FO SS T MM M21;Carreta Hidráulica 7t (9m3) de Eixo Tandem - FORRAGEIRA - C/ MANG MAIORES - Molas, Freios e Pneus não Incluídos;Galo;19
CBH7;CBH7 FO SS T MM P750(I) M21;Carreta Hidráulica 7t (9m3) de Eixo Tandem - FORRAGEIRA - C/ MANG MAIORES + PNEUS - Molas e Freios não Incluídos;Galo;27
CBH7;CBH7 FO SS T P750(I) M21;Carreta Hidráulica 7t (9m3) Eixo Tandem - FORRAGEIRA - C/ PNEUS - Molas e Freios não Incluídos;Galo;24
CBH7;CBH7 FO SS T R15,5 M21;"Carreta Hidráulica 7t (9m3) de Eixo Tandem - FORRAGEIRA - RODA 15,5"" - Molas, Freios não Incluídos+";Galo;22
CBH7;CBH7 FO SS T R15,5 P400 M21;"Carreta Hidráulica 7t (9m3) de Eixo Tandem - FORRAGEIRA - RODA 15,5"" - C/ PNEUS 400/60 - Molas, Freios não Incluídos";Galo;27
CBH7;CBH7 FO-1M SS RD M21;Carreta Hidráulica 7t (6m3) RD de 1 Eixo - FORRAGEIRA 1M - Molas, Freios e Pneus não Incluídos;Galo;20
CBH7;CBH7 FO-1M SS RD P750(I) M21;Carreta Hidráulica 7t (6m3) RD de 1 Eixo - FORRAGEIRA 1M - C/ PNEUS - Molas e Freios não Incluídos;Galo;28
CBH7;CBH7 FO-1M SS T M21;Carreta Hidráulica 7t (6m3) de Eixo Tandem - FORRAGEIRA 1M - Molas, Freios e Pneus não Incluídos;Galo;19
CBH7;CBH7 UG SC RD M21;Carreta Hidráulica 7t (4m3) RD de 1 Eixo - USO GERAL - C/ FREIOS - Freios e Pneus não Incluídos;Galo;17
CBH7;CBH7 UG SS RD M21;Carreta Hidráulica 7t (4m3) RD de 1 Eixo - USO GERAL - Molas, Freios e Pneus não Incluídos;Galo;17
CBH7;CBH7 UG SS RD P750(I) M21;Carreta Hidráulica 7t (4m3) RD de 1 Eixo - USO GERAL - C/ PNEUS - Molas e Freios não Incluídos;Galo;25
CBH7;CBH7 UG SS T M21;Carreta Hidráulica 7t (4m3) de Eixo Tandem - USO GERAL - Molas, Freios e Pneus não Incluídos;Galo;16
CBH7-2E;CBH7-2E FO SS R15,5 RS/RS M23;Carreta Hidráulica 7t (9m3) RS/RS de 2 Eixos - P/ PNEU ALTA FLUTUAÇÃO - FORRAGEIRA - Molas, Freios e Pneus não Incluídos;Galo;29
CBH7-2E;CBH7-2E FO SS RS/RD M21;Carreta Hidráulica 7t (9m3) RS/RD de 2 Eixos - FORRAGEIRA - Molas, Freios e Pneus não Incluídos;Galo;23
CBH7-2E;CBH7-2E FO SS RS/T M21;Carreta Hidráulica 7t (9m3) RS/T de 2 Eixos - FORRAGEIRA - Molas, Freios e Pneus não Incluídos;Galo;22
CBH7-2E;CBH7-2E FO SS RS/T R15,5 M21;Carreta Hidráulica 7t (9m3) RS/T de 2 Eixos - FORRAGEIRA - ALTA FLUTUAÇÃO - Molas, Freios e Pneus não Incluídos;Galo;28
CBH7-2E;CBH7-2E FO SS RS/T R15,5 P400 M21;Carreta Hidráulica 7t (9m3) RS/T de 2 Eixos - FORRAGEIRA - C/ PNEUS ALTA FLUTUAÇÃO - Molas, Freios não Incluídos;Galo;33
CBH7-2E;CBH7-2E UG SS RS/RD M21;Carreta Hidráulica 7t (4m3) RS/RD de 2 Eixos - USO GERAL - Molas, Freios e Pneus não Incluídos;Galo;23
CBH9;CBH9 SS T R15,5 M22;Carreta Hidráulica 9t (14m3) de Eixo Tandem – FORRAGEIRA - Molas, Freios e Pneus não Incluídos;Galo;19
CBH9;CBH9 SS T R15,5 P400 M22;Carreta Hidráulica 9t (14m3) de Eixo Tandem – FORRAGEIRA - C/ PNEUS 400 - Molas e Freios não Incluídos;Galo;24
CBH9-2E;CBH9-2E SS RS/RS R15,5 M22;"Carreta Hidráulica 9t (14m3) RS/RS de 2 Eixos - FORRAGEIRA - RODA 15,5"" - Molas, Freios e Pneus não Incluídos";Galo;26
CBH9-2E;CBH9-2E SS RS/RS R15,5 P400 M22;"Carreta Hidráulica 9t (14m3) RS/RS de 2 Eixos - FORRAGEIRA - RODA 15,5"" - C/ PNEUS 400/60 - Molas e Freios não Incluídos";Galo;31
CBHL6000;CBHL6000 CS RS/RS M20;Carreta Hidráulica 5t (6m3) RS/RS de 2 Eixos - TRIBASCULANTE - C/ MOLAS - Freios e Pneus não Incluídos;Galo;21
CBHM10000;CBHM10000 SS RD M17;Carreta Hidráulica 7t (10m3) RD de 1 Eixo – FORRAGEIRO - Molas, Freios e Pneus não Incluídos;Galo;19
CBHM10000;CBHM10000 SS T R15,5 M20;Carreta Hidráulica 7t (10m3) de Eixo Tandem - FORRAGEIRA - Molas, Freios e Pneus não Incluídos;Galo;24
CBHM10000;CBHM10000 SS T R15,5 P400 M20;Carreta Hidráulica 7t (10m3) de Eixo Tandem - FORRAGEIRA - PNEUS 400/60 - Molas e Freios não Incluídos;Galo;29
CBHM10000-2E;CBHM10000-2E SS RS/RD M17;Carreta Hidráulica 6t (10m3) RS/RD de 2 Eixos - FORRAGEIRO - Molas, Freios e Pneus não Incluídos;Galo;25
CBHM10000-2E;CBHM10000-2E SS RS/RD P750(I) M17;Carreta Hidráulica 6t (10m3) RS/RD de 2 Eixos – FORRAGEIRO - C/ PNEUS - Molas e Freios não Incluídos;Galo;33
